channel_username,channel_title,channel_id,date,unique_posters,total_messages,est_percentage_of_questions,posters_pie_chart
hpbglobal,HPB Global,230,2018-11-07,11,32,0.3125,"{""507195195"": 0.125, ""534499910"": 0.0312, ""460971816"": 0.0312, ""342225356"": 0.0312, ""406510608"": 0.0312, ""397726098"": 0.0312, ""561443828"": 0.0625, ""481532820"": 0.0938, ""510288826"": 0.0938, ""486467227"": 0.25, ""531603966"": 0.2188}"
energitoken,EnergiToken (Expired - Please move to new group),231,2018-11-07,3,3,0.3333,"{""345296042"": 0.3333, ""389676084"": 0.3333, ""774344109"": 0.3333}"
unibright_io,Unibright Official Community,234,2018-11-07,5,34,0.1176,"{""539287779"": 0.3824, ""774344109"": 0.0294, ""548628461"": 0.3235, ""333055215"": 0.0294, ""13169843"": 0.2353}"
friendzICO,Friendz App Crypto Community,235,2018-11-07,3,4,0.0,"{""774344109"": 0.25, ""427651566"": 0.25, ""486009671"": 0.5}"
monero,Monero XMR,4332,2018-11-07,10,34,0.1176,"{""381028480"": 0.0294, ""671474014"": 0.0294, ""300499945"": 0.0294, ""2987442"": 0.1176, ""102052754"": 0.2059, ""425706067"": 0.2059, ""6507061"": 0.0588, ""533422041"": 0.2647, ""129811582"": 0.0294, ""517644345"": 0.0294}"
effectai,Effect.AI,237,2018-11-07,4,5,0.2,"{""392406320"": 0.4, ""518161177"": 0.2, ""507249497"": 0.2, ""274488838"": 0.2}"
iotatangle,IOTA Tech,4334,2018-11-07,1,3,0.0,"{""493342846"": 1.0}"
measurabledata,Measurable Data Token (MDT),238,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
bitrentio,BitRent.uk - Platform(ENG),240,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
OfficialRate3,Rate3 (RTE) Official Community,241,2018-11-07,4,6,0.3333,"{""450377851"": 0.3333, ""661274868"": 0.1667, ""774344109"": 0.1667, ""542415823"": 0.3333}"
CCC_official,CCC_Official,244,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
AutisticDogHack,Merculet,245,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
,Hatchworks - Spectre.ai/Betverse/GG Play- Community Channel,246,2018-11-07,6,26,0.1154,"{""657949602"": 0.0769, ""394896421"": 0.2692, ""456824881"": 0.1154, ""420327259"": 0.4615, ""448052891"": 0.0385, ""452430142"": 0.0385}"
officialcoinpoker,CoinPoker,250,2018-11-07,8,26,0.1154,"{""363365129"": 0.1154, ""536649961"": 0.0385, ""570054604"": 0.2692, ""774344109"": 0.0385, ""663919188"": 0.2308, ""14993752"": 0.1154, ""548038746"": 0.0385, ""694777276"": 0.1538}"
leverj,Leverj,251,2018-11-07,1,1,0.0,"{""723028333"": 1.0}"
bloomprotocol,Bloom,255,2018-11-07,3,6,0.1667,"{""446855036"": 0.3333, ""548516524"": 0.1667, ""715189013"": 0.5}"
crypterium,Crypterium Chat (EN),256,2018-11-07,7,25,0.28,"{""506823328"": 0.04, ""587100897"": 0.08, ""496038019"": 0.04, ""536579174"": 0.64, ""481671882"": 0.12, ""537688304"": 0.04, ""411946130"": 0.04}"
peercoin,Peercoin×Discord,257,2018-11-07,2,2,0.0,"{""283576548"": 0.5, ""208373228"": 0.5}"
tomochain,TomoChain ($TOMO) Chat,258,2018-11-07,9,18,0.0556,"{""501686244"": 0.1111, ""774344109"": 0.0556, ""501910003"": 0.1111, ""452650772"": 0.1667, ""524464663"": 0.1111, ""635136221"": 0.0556, ""509104317"": 0.2778, ""545947038"": 0.0556, ""404762239"": 0.0556}"
EnigmaProject,Enigma Project Official,259,2018-11-07,2,4,0.25,"{""496716040"": 0.5, ""494363467"": 0.5}"
bitcore_btx_community,Bitcore_BTX,260,2018-11-07,4,6,0.1667,"{""321224137"": 0.3333, ""680350081"": 0.3333, ""406362940"": 0.1667, ""370204655"": 0.1667}"
lympo,Lympo Community - o'Lympians,261,2018-11-07,6,18,0.1667,"{""438501669"": 0.1111, ""493857415"": 0.1667, ""507250663"": 0.3333, ""560805037"": 0.1111, ""615186199"": 0.1667, ""498024378"": 0.1111}"
SwissBorgChat,SwissBorg,263,2018-11-07,7,12,0.0833,"{""510813857"": 0.0833, ""387769768"": 0.0833, ""433304845"": 0.25, ""774344109"": 0.0833, ""210944655"": 0.0833, ""698501022"": 0.25, ""468672734"": 0.1667}"
kybernetwork,Kyber Network,265,2018-11-07,1,1,1.0,"{""399560304"": 1.0}"
RebelliousCoin,Rebellious,266,2018-11-07,4,7,0.1429,"{""774344109"": 0.1429, ""341904773"": 0.2857, ""545591701"": 0.4286, ""370422055"": 0.1429}"
ArcBlock,ArcBlock,267,2018-11-07,2,2,0.5,"{""459311684"": 0.5, ""774344109"": 0.5}"
babb_official,BABB Community,268,2018-11-07,13,36,0.1667,"{""533159873"": 0.0556, ""590170978"": 0.0556, ""400837601"": 0.1944, ""485841476"": 0.0556, ""569133926"": 0.0556, ""734143562"": 0.0556, ""457366123"": 0.1944, ""530264427"": 0.0833, ""478387405"": 0.0556, ""368264075"": 0.0556, ""622310096"": 0.0556, ""507717042"": 0.0278, ""242625586"": 0.0556}"
IoTChain,IoT Chain (ITC) Official,269,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
deepbrainchain,DeepBrain Chain,270,2018-11-07,2,4,0.25,"{""410165196"": 0.5, ""421473853"": 0.5}"
olympuslabs,Olympus Labs,271,2018-11-07,3,4,0.25,"{""692194037"": 0.5, ""243747125"": 0.25, ""774344109"": 0.25}"
dimecosystem,DIM Ecosystem,272,2018-11-07,4,10,0.1,"{""429660432"": 0.3, ""408489518"": 0.1, ""396887734"": 0.4, ""562490263"": 0.2}"
OmiseGo,Omise GO (Unofficial),273,2018-11-07,1,1,0.0,"{""491267219"": 1.0}"
spectrecoin,Spectrecoin [xspec] - Privacy at Stake,274,2018-11-07,2,7,0.2857,"{""736347690"": 0.7143, ""261909530"": 0.2857}"
mobilego,MobileGo Community Channel,276,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
AchainOfficial,Achain,278,2018-11-07,6,16,0.1875,"{""540091492"": 0.25, ""527699370"": 0.0625, ""504525706"": 0.375, ""521858226"": 0.0625, ""653554875"": 0.125, ""518067614"": 0.125}"
BCDcommunity,Bitcoin Diamond,281,2018-11-07,1,1,0.0,"{""625132457"": 1.0}"
cobinhood,COBINHOOD,283,2018-11-07,6,16,0.1875,"{""401908032"": 0.4375, ""328721572"": 0.0625, ""774344109"": 0.0625, ""433258289"": 0.0625, ""490135732"": 0.3125, ""143305919"": 0.0625}"
datawallet,Datawallet,284,2018-11-07,3,5,0.2,"{""444811952"": 0.4, ""598183236"": 0.4, ""774344109"": 0.2}"
BitcoinGoldHQ,Bitcoin Gold Global - English,286,2018-11-07,3,5,0.0,"{""43935904"": 0.6, ""625132457"": 0.2, ""744774668"": 0.2}"
thetanetwork,Theta Network (Admins will never message your first or ask for private info / keys / seed phrases!),287,2018-11-07,7,15,0.1333,"{""477041155"": 0.0667, ""400753764"": 0.0667, ""546184708"": 0.4, ""528349642"": 0.1333, ""309576976"": 0.1333, ""659780504"": 0.0667, ""527356857"": 0.1333}"
NxtCommunity,Nxt Community,288,2018-11-07,1,3,0.0,"{""261244309"": 1.0}"
Divi_Project,New Channel in Pin,289,2018-11-07,2,2,0.5,"{""418563408"": 0.5, ""424749749"": 0.5}"
qlinkmobile,QLC Chain,290,2018-11-07,3,10,0.3,"{""576500009"": 0.1, ""419075892"": 0.4, ""290141575"": 0.5}"
carnomicofficial,Carnomic English Official,291,2018-11-07,7,11,0.2727,"{""431187203"": 0.2727, ""757471915"": 0.0909, ""501964684"": 0.0909, ""774344109"": 0.0909, ""84210004"": 0.1818, ""496661213"": 0.0909, ""289290143"": 0.1818}"
official_nagacoin,The NAGA Coin (we've moved),293,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
aeternity,æternity,294,2018-11-07,6,11,0.2727,"{""43935904"": 0.1818, ""574411559"": 0.0909, ""647627050"": 0.1818, ""660662251"": 0.0909, ""458093781"": 0.0909, ""362416639"": 0.3636}"
cubeintofficial,Cube Intelligence [Official],295,2018-11-07,1,1,1.0,"{""492642996"": 1.0}"
FuzeX,FuzeX,297,2018-11-07,2,3,0.0,"{""775737808"": 0.3333, ""425997359"": 0.6667}"
officialstormtoken,STORM Token,298,2018-11-07,2,2,0.5,"{""355064080"": 0.5, ""370948262"": 0.5}"
dragontalk,Dragonchain Discussion,299,2018-11-07,4,5,0.0,"{""546364721"": 0.2, ""459957845"": 0.2, ""573359109"": 0.2, ""389474975"": 0.4}"
DeepOnionCoin,DeepOnion ENG Official,300,2018-11-07,2,2,0.0,"{""291930987"": 0.5, ""522314860"": 0.5}"
binanceexchange,Binance English,302,2018-11-07,65,205,0.1415,"{""566099331"": 0.0244, ""548920835"": 0.0146, ""412267275"": 0.0049, ""572367500"": 0.0049, ""599647374"": 0.0049, ""546416782"": 0.0098, ""519647760"": 0.0146, ""461810832"": 0.0049, ""682735761"": 0.0098, ""156285712"": 0.0098, ""777114904"": 0.0098, ""739161122"": 0.0293, ""754395940"": 0.0098, ""355285798"": 0.0049, ""535920807"": 0.039, ""570784040"": 0.0146, ""466240038"": 0.0049, ""656399786"": 0.0049, ""629042344"": 0.0049, ""503283757"": 0.0049, ""590405045"": 0.039, ""518540085"": 0.0049, ""682945079"": 0.0049, ""660461496"": 0.0049, ""485250745"": 0.0098, ""512996408"": 0.0195, ""3682107"": 0.0098, ""642193980"": 0.0195, ""447898045"": 0.0049, ""506780605"": 0.0098, ""475641279"": 0.0098, ""610902464"": 0.0098, ""537626304"": 0.0049, ""467210298"": 0.0049, ""581232069"": 0.0098, ""772787400"": 0.0049, ""486879050"": 0.0244, ""424858956"": 0.0098, ""266762316"": 0.0049, ""499488716"": 0.0098, ""603374928"": 0.0098, ""176365905"": 0.0049, ""627845970"": 0.0049, ""338249170"": 0.0049, ""482416981"": 0.0049, ""461205206"": 0.0049, ""491006807"": 0.0098, ""495387224"": 0.0244, ""537045209"": 0.0049, ""613982553"": 0.0927, ""545105883"": 0.0049, ""438871775"": 0.0049, ""653165408"": 0.0049, ""400753764"": 0.0049, ""747046244"": 0.0049, ""665091942"": 0.0244, ""626701030"": 0.0244, ""445732456"": 0.0049, ""136185956"": 0.0098, ""387537131"": 0.0585, ""186232429"": 0.0439, ""701180013"": 0.0098, ""376343920"": 0.0049, ""678097908"": 0.1659, ""486570494"": 0.0146}"
hydroprotocol,Official Hydro HOT Community,306,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
thecoinfarm,The Coin Farm,307,2018-11-07,5,9,0.1111,"{""494311456"": 0.1111, ""652327435"": 0.1111, ""89929262"": 0.1111, ""496104690"": 0.5556, ""757581590"": 0.1111}"
colossuscoin,ColossusXT [COLX] | EN | Official,309,2018-11-07,2,2,0.5,"{""450259291"": 0.5, ""430821527"": 0.5}"
kincurrency,Kin Coin,310,2018-11-07,5,64,0.2344,"{""658128387"": 0.2812, ""439893065"": 0.4688, ""61402602"": 0.1719, ""774344109"": 0.0156, ""611722174"": 0.0625}"
,No BS Crypto,312,2018-11-07,10,22,0.1364,"{""458927841"": 0.2273, ""542792898"": 0.0909, ""578969989"": 0.0455, ""531192582"": 0.0455, ""663583790"": 0.2273, ""176365905"": 0.1364, ""327906262"": 0.0909, ""357683546"": 0.0455, ""602012732"": 0.0455, ""799264125"": 0.0455}"
Strape,Strape,313,2018-11-07,14,42,0.0952,"{""556442497"": 0.0952, ""357509027"": 0.0238, ""405638406"": 0.3095, ""608356456"": 0.0238, ""500175454"": 0.0238, ""315973674"": 0.0238, ""680224490"": 0.0238, ""337588237"": 0.0952, ""421465812"": 0.0238, ""470036918"": 0.0714, ""423793503"": 0.0714, ""585069213"": 0.0476, ""392530462"": 0.1429, ""370699679"": 0.0238}"
whalepoolbtc,Whalepool,314,2018-11-07,20,59,0.1695,"{""685832070"": 0.0169, ""127788170"": 0.0169, ""428326162"": 0.0847, ""428870039"": 0.0169, ""557173280"": 0.1695, ""299073573"": 0.0169, ""167249189"": 0.0169, ""216901420"": 0.0169, ""2987442"": 0.0169, ""290079029"": 0.1525, ""172018489"": 0.0339, ""548243902"": 0.0169, ""116465095"": 0.0169, ""458955468"": 0.0169, ""453243483"": 0.0508, ""539283685"": 0.0169, ""568400997"": 0.0169, ""445732456"": 0.1356, ""185230058"": 0.1186, ""505246071"": 0.0508}"
presearch,Presearch Community,316,2018-11-07,7,14,0.2857,"{""556272739"": 0.1429, ""209394692"": 0.1429, ""76376165"": 0.0714, ""774344109"": 0.0714, ""391835637"": 0.2857, ""483227515"": 0.1429, ""445004191"": 0.1429}"
oystertrading,Oyster Trading,317,2018-11-07,2,3,0.3333,"{""491523946"": 0.6667, ""77507259"": 0.3333}"
MainframeCommunity,Mainframe Community (1/2),318,2018-11-07,1,1,0.0,"{""401189856"": 1.0}"
GBXCommunity,GBX Community,319,2018-11-07,5,14,0.3571,"{""309287400"": 0.2143, ""774344109"": 0.0714, ""406965133"": 0.0714, ""377222453"": 0.0714, ""426690297"": 0.5714}"
district0x,district0x,321,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
ipbcenglish,BITTUBE | Official,322,2018-11-07,5,10,0.2,"{""618196035"": 0.3, ""543361450"": 0.1, ""523931690"": 0.3, ""439309709"": 0.2, ""521285521"": 0.1}"
emc2_official,EMC2 official,323,2018-11-07,2,2,0.5,"{""65879846"": 0.5, ""404444383"": 0.5}"
biboxglobal,Bibox Discussion,324,2018-11-07,2,18,0.2778,"{""511352595"": 0.4444, ""428141991"": 0.5556}"
SmartMesh,SmartMesh Official,325,2018-11-07,2,2,0.0,"{""579866987"": 0.5, ""774344109"": 0.5}"
mothershipcx,Mothership,329,2018-11-07,3,4,0.0,"{""720167050"": 0.5, ""447442204"": 0.25, ""774344109"": 0.25}"
stktoken,STK token,331,2018-11-07,5,7,0.0,"{""774344109"": 0.1429, ""449961615"": 0.1429, ""485216306"": 0.2857, ""510101939"": 0.2857, ""481758963"": 0.1429}"
cashbetcoin,CashBet Coin,333,2018-11-07,3,3,0.0,"{""617403280"": 0.3333, ""774344109"": 0.3333, ""536565798"": 0.3333}"
DigiByteCoin,DigiByte Official Discussion ✅,334,2018-11-07,11,43,0.093,"{""625132457"": 0.0233, ""534052426"": 0.0233, ""518693354"": 0.186, ""516843533"": 0.1628, ""198108814"": 0.093, ""573344565"": 0.0233, ""261244309"": 0.1395, ""432735991"": 0.0698, ""513653685"": 0.0698, ""469334078"": 0.186, ""796300095"": 0.0233}"
sonm_eng,SONM,335,2018-11-07,3,6,0.1667,"{""774344109"": 0.1667, ""39715102"": 0.3333, ""524344815"": 0.5}"
WeAreInternxt,Internxt,336,2018-11-07,3,3,0.0,"{""489391578"": 0.3333, ""774344109"": 0.3333, ""435024639"": 0.3333}"
musicoinofficial,Musicoin,337,2018-11-07,2,2,0.0,"{""476874321"": 0.5, ""305206626"": 0.5}"
IHTcoin,IHT Coin Public Group,338,2018-11-07,3,4,0.5,"{""44148964"": 0.5, ""774344109"": 0.25, ""266795327"": 0.25}"
LokiCommunity,Loki Community,339,2018-11-07,3,10,0.1,"{""566155496"": 0.5, ""453056090"": 0.2, ""540656421"": 0.3}"
bf_token,BnkToTheFuture Community,340,2018-11-07,2,2,0.5,"{""457372754"": 0.5, ""489844692"": 0.5}"
Peerplays,Peerplays,4439,2018-11-07,2,2,0.0,"{""342572362"": 0.5, ""126585716"": 0.5}"
breadchat,BRD Community Channel,343,2018-11-07,1,1,0.0,"{""62976143"": 1.0}"
b2bx_eng,B2BX_ENG,349,2018-11-07,2,4,0.0,"{""496104690"": 0.75, ""774344109"": 0.25}"
gameico,Game.com,350,2018-11-07,5,18,0.0556,"{""511769232"": 0.7222, ""176365905"": 0.0556, ""153024595"": 0.0556, ""474010107"": 0.1111, ""520221660"": 0.0556}"
INTChainOfficial,INTChain Official,351,2018-11-07,2,2,0.0,"{""527179237"": 0.5, ""774344109"": 0.5}"
renproject,Ren,357,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
latoken,LATOKEN,358,2018-11-07,3,3,0.3333,"{""165669107"": 0.3333, ""635136221"": 0.3333, ""455366286"": 0.3333}"
wiccofficial,Waykichain/WICC Official,359,2018-11-07,1,2,0.0,"{""677879542"": 1.0}"
token_club,TokenClub,365,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
bitcoinatom,Bitcoin Atom,375,2018-11-07,2,2,0.0,"{""530397275"": 0.5, ""221319092"": 0.5}"
openanxteam,OAX,391,2018-11-07,16,64,0.0,"{""644618432"": 0.0469, ""621992193"": 0.0781, ""644452900"": 0.0469, ""699080968"": 0.0469, ""659919145"": 0.0469, ""626167818"": 0.0312, ""658225612"": 0.125, ""650596332"": 0.0156, ""548822486"": 0.0938, ""624555446"": 0.0312, ""604084888"": 0.0625, ""624841942"": 0.0625, ""655860922"": 0.0625, ""592617691"": 0.1406, ""624286460"": 0.0469, ""626714013"": 0.0625}"
aeronaero,Aeron,394,2018-11-07,2,2,0.5,"{""774344109"": 0.5, ""719541990"": 0.5}"
FortunaGlobal,Fortuna | FOTA,395,2018-11-07,6,7,0.1429,"{""494692743"": 0.2857, ""432221256"": 0.1429, ""525361673"": 0.1429, ""604193706"": 0.1429, ""723028333"": 0.1429, ""507187159"": 0.1429}"
bancor,Bancor Protocol,396,2018-11-07,16,97,0.2371,"{""503641120"": 0.0619, ""480931168"": 0.0928, ""320321059"": 0.0206, ""512703843"": 0.0103, ""504455142"": 0.0103, ""672685886"": 0.1134, ""511769232"": 0.1237, ""33335454"": 0.0309, ""145647059"": 0.1856, ""554271537"": 0.0103, ""426766454"": 0.1031, ""617259191"": 0.0206, ""797562105"": 0.0206, ""546116058"": 0.1649, ""448016315"": 0.0103, ""521857502"": 0.0206}"
tefood,TE-FOOD,397,2018-11-07,2,2,0.0,"{""337913149"": 0.5, ""774344109"": 0.5}"
datumnetwork,Official Datum Network (EN),398,2018-11-07,2,2,0.0,"{""478925425"": 0.5, ""774344109"": 0.5}"
blockchainDATA,Official DATA Group 1 (DTA),399,2018-11-07,2,3,0.0,"{""419720587"": 0.3333, ""384713421"": 0.6667}"
ExpandOrg,Expand,402,2018-11-07,2,2,0.5,"{""459311684"": 0.5, ""774344109"": 0.5}"
projshivom,Shivom,403,2018-11-07,2,2,0.0,"{""744774668"": 0.5, ""774344109"": 0.5}"
RCNchat,RCN Chat Group (Official),407,2018-11-07,3,4,0.25,"{""566763298"": 0.5, ""376625099"": 0.25, ""774344109"": 0.25}"
insolar,Insolar,408,2018-11-07,11,15,0.2,"{""345058016"": 0.0667, ""590973411"": 0.0667, ""244261256"": 0.0667, ""380898472"": 0.0667, ""720167050"": 0.0667, ""603374928"": 0.1333, ""460468944"": 0.1333, ""339498130"": 0.1333, ""466204755"": 0.0667, ""485090482"": 0.0667, ""442735550"": 0.1333}"
ProChainTech,ProChain Global Official,409,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
bitgreenofficial,BitGreen,411,2018-11-07,1,1,1.0,"{""526896626"": 1.0}"
suncontract,SunContract,412,2018-11-07,2,2,0.0,"{""495653149"": 0.5, ""774344109"": 0.5}"
SALTLendingDiscussion,SALT Lending Discussion,415,2018-11-07,1,1,0.0,"{""352445997"": 1.0}"
OriginSport_EN,Origin Sport Official,416,2018-11-07,1,1,0.0,"{""661274868"": 1.0}"
MetalPayCommunity,MTL | Metal - Metal Pay,418,2018-11-07,6,6,0.1667,"{""326314914"": 0.1667, ""366438955"": 0.1667, ""384746995"": 0.1667, ""508471034"": 0.1667, ""434023133"": 0.1667, ""702557375"": 0.1667}"
CortexBlockchain,CortexLabs1️⃣,419,2018-11-07,1,1,0.0,"{""680879573"": 1.0}"
bitmonero,Monero Enthusiasts,420,2018-11-07,4,9,0.3333,"{""347265128"": 0.1111, ""625132457"": 0.4444, ""396334314"": 0.1111, ""1433157"": 0.3333}"
navcoin,NavCoin,421,2018-11-07,1,1,0.0,"{""723028333"": 1.0}"
getprotocol,GET Protocol,422,2018-11-07,2,3,0.0,"{""292756666"": 0.6667, ""774344109"": 0.3333}"
RuffChain,RuffChain,423,2018-11-07,2,2,0.0,"{""661274868"": 0.5, ""774344109"": 0.5}"
GenaroNetworkOfficial,Genaro Network (GNX) | Global Community,424,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
RMC_ICO,RMC CLUB,425,2018-11-07,1,1,0.0,"{""201197114"": 1.0}"
wingschat,WINGS Chat,456,2018-11-07,7,23,0.1739,"{""368632516"": 0.0435, ""192746822"": 0.3043, ""55329549"": 0.1304, ""687562033"": 0.087, ""502959667"": 0.2174, ""457438264"": 0.1304, ""394102203"": 0.087}"
Robin8_PUT,Robin8 PUT - Giving Control of the Profile Back to the User,478,2018-11-07,1,3,1.0,"{""470855995"": 1.0}"
selfkeyfoundation,SelfKey Identity Network,479,2018-11-07,4,7,0.2857,"{""280792393"": 0.4286, ""437612250"": 0.2857, ""105507987"": 0.1429, ""774344109"": 0.1429}"
DNNMedia,Decentralized News Network (DNN),488,2018-11-07,2,2,0.0,"{""744774668"": 0.5, ""772878839"": 0.5}"
tezosico,Tezos Project | Trading Discussion,4591,2018-11-07,1,1,0.0,"{""538540382"": 1.0}"
revainofficial,Revain Official Chat (EN),496,2018-11-07,2,5,0.0,"{""400753764"": 0.2, ""777741141"": 0.8}"
neufund,Neufund,497,2018-11-07,1,1,0.0,"{""547627738"": 1.0}"
Officialppi,Official PiedPiperCoin Chat,517,2018-11-07,1,1,0.0,"{""62797032"": 1.0}"
DomRaider_Chat,DomRaider,540,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
EcholinkOfficial,EkoLink 【EKO】 Official (Eng),557,2018-11-07,3,5,0.2,"{""644079434"": 0.4, ""774344109"": 0.2, ""504302238"": 0.4}"
adhivetv,Adhive.tv,113,2018-11-07,2,2,0.0,"{""457041957"": 0.5, ""774344109"": 0.5}"
ChangeBank,Change,585,2018-11-07,2,2,0.5,"{""335556243"": 0.5, ""354393598"": 0.5}"
bitcoininterest,Bitcoin Interest,129,2018-11-07,1,1,0.0,"{""661274868"": 1.0}"
bankex,BANKEX.com,130,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
CyberVeinCommunity,CyberVein Community,656,2018-11-07,2,2,0.0,"{""635136221"": 0.5, ""702557375"": 0.5}"
polymathnetwork,Polymath Network,4215,2018-11-07,10,21,0.2381,"{""496308871"": 0.0476, ""722934311"": 0.0476, ""625132457"": 0.0476, ""537815370"": 0.3333, ""589390347"": 0.0952, ""466935373"": 0.0476, ""272758832"": 0.0476, ""630694544"": 0.0476, ""428758461"": 0.0476, ""298075742"": 0.2381}"
BytomInternational,Bytom official international,4217,2018-11-07,1,1,0.0,"{""625132457"": 1.0}"
GXChain_international,GXChain International English Channel,4218,2018-11-07,1,1,0.0,"{""572116976"": 1.0}"
,Stakenet (XSN) English,909,2018-11-07,1,1,0.0,"{""496308871"": 1.0}"
BitcoinChat,Bitcoin Chat,4273,2018-11-07,2,4,0.0,"{""173516336"": 0.5, ""715189013"": 0.5}"
AidocMeEn,AIDOC Official Group for EN,1200,2018-11-07,2,2,0.0,"{""538621549"": 0.5, ""774344109"": 0.5}"
